# run_id=clean_20260909_053522
# seed=42
# timestamp=2026-09-09T05:35:22.478665
run_id,timestamp,frame_id,fps,target_id,gt_x,gt_y,est_x,est_y,error_px,angular_error_deg,detection_confidence,detected,tracker_state,pan_cmd,tilt_cmd,pan_actual,tilt_actual,processing_time_ms
clean_20260909_053522,1.4333,43,0.0,beacon_01,727.26,334.73,727.19,334.72,90.78,4.3217,1.0000,1,TRACKING,8.9684,2.4314,8.8695,2.3953,23.14
clean_20260909_053522,1.4667,44,0.0,beacon_01,725.11,335.05,725.04,335.04,88.62,4.2203,1.0000,1,TRACKING,9.0646,2.4666,8.9684,2.4314,16.86
clean_20260909_053522,1.5000,45,0.0,beacon_01,723.02,335.35,722.94,335.41,86.50,4.1206,1.0000,1,TRACKING,9.1584,2.5009,9.0646,2.4666,16.01
clean_20260909_053522,1.5333,46,0.0,beacon_01,720.98,335.63,720.84,335.62,84.44,4.0242,1.0000,1,TRACKING,9.2496,2.5359,9.1584,2.5009,16.72
clean_20260909_053522,1.5667,47,0.0,beacon_01,718.99,335.93,718.86,335.88,82.47,3.9320,1.0000,1,TRACKING,9.3389,2.5702,9.2496,2.5359,17.12
clean_20260909_053522,1.6000,48,0.0,beacon_01,717.04,336.21,716.92,336.15,80.54,3.8415,1.0000,1,TRACKING,9.4260,2.6040,9.3389,2.5702,19.61
clean_20260909_053522,1.6333,49,0.0,beacon_01,715.14,336.49,715.04,336.47,78.65,3.7527,1.0000,1,TRACKING,9.5110,2.6371,9.4260,2.6040,17.17
clean_20260909_053522,1.6667,50,0.0,beacon_01,713.28,336.75,713.22,336.70,76.84,3.6684,1.0000,1,TRACKING,9.5940,2.6704,9.5110,2.6371,15.72
clean_20260909_053522,1.7000,51,0.0,beacon_01,711.46,337.02,711.41,336.99,75.03,3.5831,1.0000,1,TRACKING,9.6747,2.7028,9.5940,2.6704,16.50
clean_20260909_053522,1.7333,52,0.0,beacon_01,709.69,337.27,709.59,337.31,73.19,3.4971,1.0000,1,TRACKING,9.7532,2.7346,9.6747,2.7028,19.90
clean_20260909_053522,1.7667,53,0.0,beacon_01,707.97,337.51,707.86,337.53,71.48,3.4170,1.0000,1,TRACKING,9.8299,2.7667,9.7532,2.7346,17.41
clean_20260909_053522,1.8000,54,0.0,beacon_01,706.28,337.75,706.22,337.71,69.87,3.3417,1.0000,1,TRACKING,9.9050,2.7987,9.8299,2.7667,19.04
clean_20260909_053522,1.8333,55,54.5,beacon_01,704.63,338.00,704.51,337.98,68.16,3.2618,1.0000,1,TRACKING,9.9776,2.8299,9.9050,2.7987,17.96
clean_20260909_053522,1.8667,56,54.5,beacon_01,703.03,338.22,702.90,338.18,66.57,3.1878,1.0000,1,TRACKING,10.0487,2.8611,9.9776,2.8299,17.44
clean_20260909_053522,1.9000,57,54.5,beacon_01,701.46,338.45,701.32,338.41,65.01,3.1146,1.0000,1,TRACKING,10.1179,2.8918,10.0487,2.8611,17.12
clean_20260909_053522,1.9333,58,54.5,beacon_01,699.93,338.67,699.78,338.57,63.51,3.0446,1.0000,1,TRACKING,10.1854,2.9226,10.1179,2.8918,18.49
clean_20260909_053522,1.9667,59,54.5,beacon_01,698.44,338.90,698.36,338.81,62.08,2.9780,1.0000,1,TRACKING,10.2517,2.9527,10.1854,2.9226,17.05
clean_20260909_053522,2.0000,60,54.5,beacon_01,696.97,339.11,696.91,339.07,60.64,2.9101,1.0000,1,TRACKING,10.3161,2.9823,10.2517,2.9527,17.12
clean_20260909_053522,2.0333,61,54.5,beacon_01,695.54,339.31,695.49,339.31,59.22,2.8438,1.0000,1,TRACKING,10.3788,3.0116,10.3161,2.9823,19.41
clean_20260909_053522,2.0667,62,54.5,beacon_01,694.15,339.50,694.10,339.52,57.85,2.7794,1.0000,1,TRACKING,10.4399,3.0408,10.3788,3.0116,20.23
clean_20260909_053522,2.1000,63,54.5,beacon_01,692.79,339.70,692.67,339.70,56.45,2.7144,1.0000,1,TRACKING,10.4990,3.0699,10.4399,3.0408,19.22
clean_20260909_053522,2.1333,64,54.5,beacon_01,691.46,339.89,691.38,339.86,55.19,2.6557,1.0000,1,TRACKING,10.5572,3.0988,10.4990,3.0699,17.26
clean_20260909_053522,2.1667,65,54.5,beacon_01,690.16,340.08,690.08,340.05,53.90,2.5958,1.0000,1,TRACKING,10.6137,3.1273,10.5572,3.0988,18.26
clean_20260909_053522,2.2000,66,54.5,beacon_01,688.90,340.26,688.79,340.23,52.64,2.5371,1.0000,1,TRACKING,10.6686,3.1556,10.6137,3.1273,16.75
clean_20260909_053522,2.2333,67,54.5,beacon_01,687.67,340.44,687.57,340.40,51.45,2.4816,1.0000,1,TRACKING,10.7224,3.1836,10.6686,3.1556,16.02
clean_20260909_053522,2.2667,68,54.5,beacon_01,686.46,340.61,686.38,340.60,50.27,2.4266,1.0000,1,TRACKING,10.7748,3.2113,10.7224,3.1836,15.83
clean_20260909_053522,2.3000,69,54.5,beacon_01,685.28,340.78,685.25,340.71,49.19,2.3766,1.0000,1,TRACKING,10.8261,3.2393,10.7748,3.2113,17.11
clean_20260909_053522,2.3333,70,54.5,beacon_01,684.12,340.95,684.09,340.92,48.05,2.3229,1.0000,1,TRACKING,10.8757,3.2664,10.8261,3.2393,19.31
clean_20260909_053522,2.3667,71,54.5,beacon_01,682.99,341.11,682.95,341.12,46.92,2.2703,1.0000,1,TRACKING,10.9241,3.2932,10.8757,3.2664,17.79
clean_20260909_053522,2.4000,72,54.5,beacon_01,681.90,341.26,681.82,341.26,45.83,2.2196,1.0000,1,TRACKING,10.9710,3.3202,10.9241,3.2932,17.15
clean_20260909_053522,2.4333,73,54.5,beacon_01,680.83,341.42,680.72,341.43,44.75,2.1697,1.0000,1,TRACKING,11.0168,3.3468,10.9710,3.3202,17.14
clean_20260909_053522,2.4667,74,54.5,beacon_01,679.78,341.57,679.64,341.58,43.71,2.1211,1.0000,1,TRACKING,11.0613,3.3732,11.0168,3.3468,16.63
clean_20260909_053522,2.5000,75,54.5,beacon_01,678.77,341.71,678.62,341.70,42.74,2.0762,1.0000,1,TRACKING,11.1048,3.3997,11.0613,3.3732,16.63
clean_20260909_053522,2.5333,76,54.5,beacon_01,677.77,341.86,677.66,341.81,41.82,2.0340,1.0000,1,TRACKING,11.1473,3.4260,11.1048,3.3997,17.17
clean_20260909_053522,2.5667,77,54.5,beacon_01,676.79,342.00,676.75,341.98,40.93,1.9926,1.0000,1,TRACKING,11.1890,3.4518,11.1473,3.4260,17.30
clean_20260909_053522,2.6000,78,54.5,beacon_01,675.83,342.14,675.81,342.13,40.02,1.9503,1.0000,1,TRACKING,11.2294,3.4774,11.1890,3.4518,16.31
clean_20260909_053522,2.6333,79,54.5,beacon_01,674.90,342.27,674.83,342.27,39.08,1.9068,1.0000,1,TRACKING,11.2683,3.5029,11.2294,3.4774,16.00
clean_20260909_053522,2.6667,80,54.5,beacon_01,673.99,342.40,673.94,342.44,38.21,1.8661,1.0000,1,TRACKING,11.3066,3.5280,11.2683,3.5029,16.98
clean_20260909_053522,2.7000,81,54.5,beacon_01,673.10,342.52,673.09,342.54,37.42,1.8295,1.0000,1,TRACKING,11.3439,3.5533,11.3066,3.5280,17.06
clean_20260909_053522,2.7333,82,54.5,beacon_01,672.23,342.65,672.25,342.67,36.61,1.7924,1.0000,1,TRACKING,11.3803,3.5783,11.3439,3.5533,19.04
clean_20260909_053522,2.7667,83,54.5,beacon_01,671.38,342.77,671.35,342.71,35.80,1.7557,1.0000,1,TRACKING,11.4153,3.6036,11.3803,3.5783,17.30
clean_20260909_053522,2.8000,84,54.5,beacon_01,670.56,342.90,670.48,342.83,34.99,1.7182,1.0000,1,TRACKING,11.4493,3.6284,11.4153,3.6036,17.44
clean_20260909_053522,2.8333,85,54.5,beacon_01,669.75,343.01,669.75,342.97,34.28,1.6850,1.0000,1,TRACKING,11.4831,3.6529,11.4493,3.6284,16.04
clean_20260909_053522,2.8667,86,54.5,beacon_01,668.95,343.12,668.93,343.12,33.50,1.6489,1.0000,1,TRACKING,11.5154,3.6770,11.4831,3.6529,18.02
clean_20260909_053522,2.9000,87,54.5,beacon_01,668.18,343.23,668.22,343.28,32.80,1.6163,1.0000,1,TRACKING,11.5473,3.7009,11.5154,3.6770,18.64
clean_20260909_053522,2.9333,88,54.5,beacon_01,667.42,343.33,667.38,343.38,32.03,1.5812,1.0000,1,TRACKING,11.5776,3.7250,11.5473,3.7009,17.47
clean_20260909_053522,2.9667,89,54.5,beacon_01,666.70,343.44,666.64,343.46,31.35,1.5501,1.0000,1,TRACKING,11.6074,3.7490,11.5776,3.7250,17.14
clean_20260909_053522,3.0000,90,54.5,beacon_01,665.98,343.54,665.91,343.55,30.70,1.5202,1.0000,1,TRACKING,11.6365,3.7729,11.6074,3.7490,16.77
clean_20260909_053522,3.0333,91,54.5,beacon_01,665.28,343.65,665.27,343.65,30.09,1.4926,1.0000,1,TRACKING,11.6650,3.7966,11.6365,3.7729,17.53
clean_20260909_053522,3.0667,92,54.5,beacon_01,664.58,343.74,664.55,343.71,29.46,1.4641,1.0000,1,TRACKING,11.6923,3.8204,11.6650,3.7966,18.53
clean_20260909_053522,3.1000,93,54.5,beacon_01,663.92,343.85,663.90,343.83,28.85,1.4359,1.0000,1,TRACKING,11.7192,3.8436,11.6923,3.8204,18.00
clean_20260909_053522,3.1333,94,54.5,beacon_01,663.26,343.94,663.23,343.90,28.27,1.4092,1.0000,1,TRACKING,11.7451,3.8671,11.7192,3.8436,17.81
clean_20260909_053522,3.1667,95,54.5,beacon_01,662.62,344.03,662.54,344.00,27.65,1.3811,1.0000,1,TRACKING,11.7700,3.8903,11.7451,3.8671,16.52
clean_20260909_053522,3.2000,96,54.5,beacon_01,662.00,344.12,661.94,344.12,27.08,1.3550,1.0000,1,TRACKING,11.7946,3.9132,11.7700,3.8903,16.26
clean_20260909_053522,3.2333,97,54.5,beacon_01,661.39,344.21,661.34,344.26,26.51,1.3285,1.0000,1,TRACKING,11.8185,3.9357,11.7946,3.9132,17.10
clean_20260909_053522,3.2667,98,54.5,beacon_01,660.79,344.29,660.69,344.35,25.94,1.3025,1.0000,1,TRACKING,11.8413,3.9583,11.8185,3.9357,17.23
clean_20260909_053522,3.3000,99,54.5,beacon_01,660.21,344.37,660.20,344.39,25.53,1.2839,1.0000,1,TRACKING,11.8642,3.9813,11.8413,3.9583,17.19
clean_20260909_053522,3.3333,100,54.5,beacon_01,659.63,344.45,659.61,344.49,25.00,1.2600,1.0000,1,TRACKING,11.8860,4.0037,11.8642,3.9813,17.46
clean_20260909_053522,3.3667,101,54.5,beacon_01,659.07,344.53,659.11,344.53,24.58,1.2411,1.0000,1,TRACKING,11.9075,4.0264,11.8860,4.0037,16.08
